,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Cotton, Feed, Farm & Home, Vegetable Plants, Herbs & Flowers,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Gardening Supplies, Clothing,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Garden Supplies, Plants,,,,,,,,,,,,,,,,,,,,,,,
Feed, Farm and Home, Garden Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Petroleum, Other Products,,,,,,,,,,,,,,,,,,,,,,,
Feed, Fertilizer, Garden Supplies, Animal Health, Farm Supplies,,,,,,,,,,,,,,,,,,,,,,,,
Cottonseed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton Ginning and Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Livestock Auction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Seed, Chemicals, Feed, Petroleum, Tires, Hardware, Garden Center,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Fertilizer, Seed, Chemicals,,,,,,,,,,,,,,,,,,,,,,,,
Wheat, Soybeans, Corn, Barley,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat, Seed, Agricultural Chemicals, Fertilizer,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans, Oats, Sunflowers, Feed, Feed Manufacturing,,,,,,,,,,,,,,,,,,,,,,
Feed, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum Products, Convenience Store,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuels, Propane, Groceries, Tires, Batteries, Hardware, Shop Service,,,,,,,,,,,,,,,,,,,,,,
Fuel, Fertilizer, Chemical Application,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Hardware, Tires, Batteries, Accessories,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Feed, Seed, Chemicals, Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, LP Gas, Service Station, Tires,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans, Petroleum, Feed, Fertilizer, Ag Chemicals, Financing, Leasing, Custom Application, Consulting Services,,,,,,,,,,,,,,,,,,
Fuel, LP, Fertilizer, Seed, Feed, Lawn and Garden Equipment, Chemicals, Corn, Soybeans,,,,,,,,,,,,,,,,,,,,
Cheese, Lactose, Dairy Protein,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans, Oats, Seed, Barley, Sunflowers, Feed, Chemicals, Fertilizer,,,,,,,,,,,,,,,,,,,
LP, Gas, Disel Fuel,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk, Feed, Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Oats, Wheat, Feed, Agronomy Products, Energy Products, Convenience Products,,,,,,,,,,,,,,,,,,,,,
Petroleum, LP, Tires, Dairy Equipment,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Oats, Feed Manufacturing, Trucking,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Tires, Batteries and Accessories,,,,,,,,,,,,,,,,,,,,,,,
Ethanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Retail Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuels, LP Gas, Automotive Service, Feed & Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans, Oats, Petroleum, Feed, Fertilizer, Agricultural Chemicals, Tires, Farm Financing, Feed Manufacturing, Fertilizer Application,,,,,,,,,,,,,,,,,
Corn, Fertilizer, Livestock, Lawn and Garden  Supplies,Fertilizer, Chemicals, Livestock Feed,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Chemicals, Seed, Application Services, Petroleum Products, LP Gas, Tires, Grain Equipment,,,,,,,,,,,,,,,,,,,,,
Feed, Fuel, Tires, Auto Repair, Animal Nutrition, Convenience Store,,,,,,,,,,,,,,,,,,,,,,,
Milk, Petroleum, Fertilizer, Feed, Ag Chemicals,,,,,,,,,,,,,,,,,,,,,,,,
Milk and Milk Products, Cheese, Animal Feed, Feed Manufacturing, Seed (Corn, Alfalfa, Soybeans, Wheat, Cotton, Sugar Beets, Sunflower, Canola, Rice, Forages and Sorghum), Eggs, Agronomy Products (Fertilizers, Nutrients and Protectants),,,,,,,,,,,,
Corn, Wheat, Soybeans, Petroleum, Feed, Fertilizer, L.P., Chemicals, Fertilizer Application,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Energy Products, Groceries and Other Supplies,,,,,,,,,,,,,,,,,,,,,,,,,
Seed, Fertilizer, Crop Protectants, Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,
Elderberry Products (berries, frozen berries, dried flowers and plants, frozen juice, etc.),,,,,,,,,,,,,,,,,,,,,,,,
Butter, Fertilizer, Chemicals, Seed, Feed, Equipment Repair, Dairy Products, Animal Health,,,,,,,,,,,,,,,,,,,,,
Feed, Biofuels, Soy Bi-Products,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfalfa Pellets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dairy and Beef Semen for use in Artificial Insemination of Cows, Animal Care Products and Products Relating to Artificial Insemination,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat, Corn, Milo, Soybeans, Petroleum, Feed, Fertilizer, Agricultural Chemicals,,,,,,,,,,,,,,,,,,,,,
Biofuel, Petroleum, Fertilizer, Ag Chemicals, Fertilizer Application, Tires,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Chemicals,,,,,,,,,,,,,,,,,,,,,,,,
Fuel, Oil, Cardtrol,,,,,,,,,,,,,,,,,,,,,,,,,,
Grains, Seed, Fertilizer,  Chemicals, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Crop Protection,,,,,,,,,,,,,,,,,,,,,,,,,
Turkeys,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Feed, Fertilizer, Agricultural Chemicals, Fertilizer Application,,,,,,,,,,,,,,,,,,,,,,,,
Propane and Fuels, Groceries, Car Wash, Convenience Store,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum Products, Fertilizer, Chemicals and Farm Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk, Feed, Agronomy,,,,,,,,,,,,,,,,,,,,,,,,,,
Coordinating Efforts of Producer Marketing Groups ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk, Feed, Fertilizer, Butter, Cheese, Seed,,,,,,,,,,,,,,,,,,,,,,,
Feed, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Propane,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agronomy, Petroleum Products,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fluid Milk, Cream, Condensed Skim Milk, Powered Milk, Butter Milk, Dairy Powders, Custom Dry Bulk Blending, Custom Processing, Bulk and Bag Feed, Farm Supplies,,,,,,,,,,,,,,,,,,,
Petroleum, Tires, Propane, C-Store,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans, Oats, Petroleum, Feed, Fertilizer, Agricultural Chemicals, Seed, Agronomy Application, Convenience Store,,,,,,,,,,,,,,,,,,
Grains, Milk, Feed, Fertilizer, Ag Chemicals, Seed, Custom Spraying, Fuel, Lube Oil, Propane,,,,,,,,,,,,,,,,,,,
Petroleum, Convenience Store, Seed, Crop Protectants, Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,
Wild Fish, Wild Fish Products,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Fertilizer, Chemicals, Feed, Grain,,,,,,,,,,,,,,,,,,,,,,,,
Milk, Feed, Seed, Patron Supplies,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel, Propane, Chemicals, Seed, Convenience Store, Anhydrous Ammonia,,,,,,,,,,,,,,,,,,,,,,,
Milk, Agricultural Supplies, Equipment Rental, Convenience Store,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar, Pulp, Molasses, Separator Molasses Solubles and Betaine,,,,,,,,,,,,,,,,,,,,,,,,,
Grain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Feed and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dairy Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Corn, Farm Hardware,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Tires,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lumber, Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Oats, Wheat, Feed, Fertilizer, Chemicals, Seed, Farm Equipment, Petroleum, Propane, Tires, Shop Services,,,,,,,,,,,,,,,,
Sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Seed, Chemicals, Wheat, Corn, Soybeans, Sunflowers,  Application Services,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans, Fertilizer, Chemicals, Seed, Application, Fuel,,,,,,,,,,,,,,,,,,,,,
Wheat, Soybeans, Corn, Fertilizer, Chemical, Seed, Consulting Services,,,,,,,,,,,,,,,,,,,,,,
Fuel, Fertilizer, Feed,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Chemicals, Petroleum,,,,,,,,,,,,,,,,,,,,,,,
Feed, Fertilizer, Propane,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Petroleum, Grain, Fertilizer, Chemicals, Farm Supplies, Corn, Wheat, Soybeans, Seed,,,,,,,,,,,,,,,,,,,
Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybeans, Corn, Wheat, Milo, Fertilizer, Chemicals, Feed, Seed, Oil, Gas, Diesel,,,,,,,,,,,,,,,,,,
Petroleum, Propane, Feed, Fertilizer, Chemicals, Corn, Soybeans, Wheat, Tires,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Petroleum, Feed, Fertilizer, Chemicals, Tires, Fertilizer and Chemical Application, Trucking, Farm Financing,,,,,,,,,,,,,,,,,,,
Fertilizer, Ag Chemicals, Application, Feed,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Crop Protectants,,,,,,,,,,,,,,,,,,,,,,,,
Grains, Feed, Seed,Fertilizer, Chemicals, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Farm Supply, Chemical, Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Chemicals, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Chemicals, Petroleum, Seed, Farm Supplies, Fertilizer Application, Tires, Corn, Wheat, Soybeans, Soda Sales,,,,,,,,,,,,,,,,,,
Feed, Fertilizer, Farm Supply,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Farm Supplies ,,,,,,,,,,,,,,,,,,,,,,,,
Grain Marketing, Lawn and Garden, Corn, Wheat, Milo, Soybeans, Petroleum, Fertilizer, Ag Chemicals, Feed,,,,,,,,,,,,,,,,,,,
Grains, Feed, Fertilizer, Ag Chemicals, Anhydrous Ammonia, Feed Manufacturing, Custom Application of Fertilizer and Ag Chemicals,,,,,,,,,,,,,,,,,,,,,,
Custom Spraying, Fertilizer Spreading, Corn, Wheat, Milo, Soybeans, Feed, Fertilizer, Agricultural Chemicals, Feed Manufacturing, Fertilizer Application,,,,,,,,,,,,,,,,,,
Feed, Seed, Farm Supply, Garden Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Hardware, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,
Feed, Fertilizer, Seed, Chemicals, Fuel, Farm Supplies, Groceries, Animal Health, Post, Wire, Twine, Oil Products,,,,,,,,,,,,,,,,,
Fuels, Farm Supplies, Custom Application, Feed, Seed, Fertilizer, Ag Chemicals, Petroleum,,,,,,,,,,,,,,,,,,,,,
Feed, Farm Supply, Fertilizer, Seed, Chemicals, Animal Health,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Milo, Soybeans, Oats, Petroleum, Feed, Tires, Feed Manufacturing,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Crop Protection, Petroleum,,,,,,,,,,,,,,,,,,,,,,,
Feed, Fertilizer, Agricultural Chemicls, Fertilizer Application,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Farm Supply, Chemicals, Seed, Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,
Soybeans, Wheat, Corn, Feed, Farm Supplies, Animal Health, Fertilizer, Ag Chemicals, Seed, Hardware, Livestock,,,,,,,,,,,,,,,,,,
Petroleum Products, Propane, Tires, Convenience Stores,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Fertilizer, Seed, Chemicals, Feed, Farm Supplies,,,,,,,,,,,,,,,,,,,,,,,
Feed, Fertilizer, Chemicals, Seed, Fertilizer and Chemical Application, Grain Elevator ,,,,,,,,,,,,,,,,,,,,,,,
Feed, Fertilizer, Ag Chemicals, Fertilizer and Chemical Application,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Farm Supplies, Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat, Fertilizer, Seed, Chemicals, Insurance, Petroleum Products, Service,,,,,,,,,,,,,,,,,,,,
Feed, Fertilizer, Farm Supplies, Seed, Ag Chemicals, Dry Goods, Animal Health, Propane, Propane Supplies,,,,,,,,,,,,,,,,,,,,
Liquid Fertilizer, Dry Fertilizer, Anhydrous Ammonia, Chemicals, Seed, Propane, Refined Fuels, Stihl Products, Kawasaki Outdoor Products, Fertilizer Application, Chemical Application,,,,,,,,,,,,,,,,,,
Petroleum, Fertilizer, Agricultural Chemicals, Fertilizer Application, Seed,,,,,,,,,,,,,,,,,,,,,,,,
Refined Fuel, Propane,  Tires and Repair, Service Labor,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybean, Feed, Fertilizer, Agricultural Chemicals, Fertilizer Application, Petroleum, Gas, Diesel, Propane ,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Petroleum Products, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,
Cottonseed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Petroleum,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Animal Health,,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Feed, Seed, Lime, Chemicals, Misc.,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Feed, Seed, Chemicals, Batteries, Tires, Animal Health, Wire Products, Posts, Lawn and Garden Products, Clothing,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton, Cottonseed,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresh Vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed Manufacturing, Fertilizer (Bag & Bulk), Agricultural Chemicals, Gas, Road and Off-Round Diesel, Corn, Oats, Soy Hull Pellets, Corn Glutton, Soybean Meal, Cottonseed Hulls, Cottonseed Meal, Feed, Tools, Hardware, Animal Health Products, Gates, Posts, Barbwire, Field Wire, Hardware Cloth, Sprayers & Parts, Rat Poison, Insecticides, Overalls, Mailboxes, Horse Tack, Seed, Plants
Fertilizer, Feed, Seed, Clothes, Lawn and Garden,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,,
Cattle,Horses, Hogs, Goats, Sheep, Donkeys, Mules,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Agricultural Chemicals, Petroleum Products,,,,,,,,,,,,,,,,,,,,,,,,
 Feed, Fertilizer, Seed, Nursery, Farm Supply,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Feed, Fertilizer, Agricultural Chemicals, Tires, Seed, Lawn Mowers, Chain Saws, Small Engines,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Clothing, Shoes, Boots,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Animal Health Supplies,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Petroleum, Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Bagged and Bulk Fertilizer, Garden Supplies, Plants,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Tractor Attachments, Gates, Fencing, Cattle & Horse Equipment, Hardware, Hunting Supplies, Lawn & Garden Items, Nursery, Outdoor Clothing & Boots, Animal Health, Pet Supplies,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,,,
Tack, Seed, Feed, Corn, Wheat, Oats, Beet Pulp, Fertilizer, Horse Supplies, Work Wear, Animal Health,,,,,,,,,,,,,,,,,,
Cattle, Horses, Feeder Pigs, Hogs, Sheep, and Variety of Goats,,,,,,,,,,,,,,,,,,,,,,,
Raw Cotton,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural Financing (financing, loans),,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Seed, Fertilizer, Agricultural Chemicals, Petroleum Products,,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Feed, Seed, Chemicals, Application, Miscellaneous Items, Carhartt and Clothing, Lime, Georgia Boots,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel, LP Gas, Fertilizer, Chemicals, Seed, Custom Application, Hardware, C-Store, Feed,,,,,,,,,,,,,,,,,,,,
Wool Clip,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuels,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel, Fertilizer, Propane,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Feeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Salt, Twine, Fence & Livestock Equipment, Gloves, Boots, Tools, Bolts, Batteries, Tires, Fuel, Diesel, Grease, Oil, Belts, Filters, Sweeps, Seed,,,,,,,,,,,
Feed, Fertilizer, Ag Chemicals, Tires, Application, Petroleum,,,,,,,,,,,,,,,,,,,,,,,
Propane, Service, Transportation, Tires, Cenex Lubricants, Warehouse,,,,,,,,,,,,,,,,,,,,,,,
Hardware, Lumber, Fencing Materials,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail Petroleum, Gas, Fuel, LP, Oil, Grease, C-Store,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Petroleum Products, Tires, Hardware, Agricultural Chemicals, Fertilizer Application,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Feed, Fertilizer, Ag Chemicals, Tires, Fertilizer Application, Farm Service, Truck Shop,,,,,,,,,,,,,,,,,,,,,
Petroleum Products ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel, Bulk Fuel, Agricultural Chemicals, Vet Supplies, Feed, Pet Supplies, Pet Food, Automotive Accessories, Livestock Equipment,,,,,,,,,,,,,,,,,,,,
Sweet Cherries,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wool,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wool,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wool,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wool Growers Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wool,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Feed, Fertilizer, Agricultural Chemicals, Tires, Fertilizer Application, Chemical Application, Consulting,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Chemicals, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,
Wheat, Barley, Pulse Crops, Farm Supply, Petroleum, Agricultural Chemicals, Fertilizer,,,,,,,,,,,,,,,,,,,,,,
Wool,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Feed, Ag Chemicals, Tires, Batteries,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Agricultural Chemicals, Petroleum,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Feed, Fertilizer, Ag Chemicals, Fertilizer Application, Groceries, Trucking,,,,,,,,,,,,,,,,,,,,,,
Wool,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Fertilizer, Ag Chemicals,  Application, Livestock Handling Equipment, Feed, Propane, C-Stores,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Petroleum Products, Feed & Services,,,,,,,,,,,,,,,,,,,,,,,,,,
Grains, Fruits, Vegetables, Dairy, Eggs, Meat,,,,,,,,,,,,,,,,,,,,,,,
Cotton,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobacco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cold Storage for Apples, Dry Storage for Agricultural Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Tires, Auto Parts,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresh Potatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Oats, Feed, Fertilizer, Chemicals, Trucking, Pulse Crops, Sunflowers,,,,,,,,,,,,,,,,,,,,
Agricultural,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Livestock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Chemicals, Petroleum,,,,,,,,,,,,,,,,,,,,,,,
Pinto Beans, Navy Beans, Black Beans, Bean Seed,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans, Feed, Fertilizer, Agricultural Chemicals, Fertilizer Application,,,,,,,,,,,,,,,,,,,,,,
Consulting Services for Hog Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulk Fuel, Oil, Pet Food, Grease,,,,,,,,,,,,,,,,,,,,,,,,,
Seed, Fertilizer, Agricultural Chemicals, Grain, Feed, Fuel,,,,,,,,,,,,,,,,,,,,,,,
Natural Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Identity-preserved grains,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans, Oats, Edible Beans, Sunflowers, Feed, Fertilizer, Agricultural Chemicals, Fertilizer Application,,,,,,,,,,,,,,,,,,,
Chemicals, Fertilizer, Seed, Grain, Fertilizer, Anhydrous, Ammonia-Purchase Grain,,,,,,,,,,,,,,,,,,,,,,
Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural Products, Grain Handling Equipment, Livestock Equipment, Convenience Stores,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Fertilizer, Seed, Chemicals, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,
Wheat, Soybeans, Corn, Chemicals, Fertilizers, Seed, Anhydrous Ammonia, Petroleum,,,,,,,,,,,,,,,,,,,,,
Lumber, Hardware, Appliances, Carpet, Furniture, Household Goods, Toys,,,,,,,,,,,,,,,,,,,,,,
Petroleum Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seed, Chemicals, Fertilizer, Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Feed, Fertilizer, Agricultural Chemicals, Tires, Fertilizer Application, Batteries,,,,,,,,,,,,,,,,,,,,,,
Fuel, Gas, Oil, Propane, Tires, Augers, Trailers, Cattle Equipment, Hardware, Farming Supplies, Service, C-Store Items,,,,,,,,,,,,,,,,,
Agronomy, Bulk Gas and Fuel, LP, Agricultural Chemicals, Seed, Fertilizer, Tires, Batteries, C-Store, Hardware Items, Shop,,,,,,,,,,,,,,,,,,
Petroleum, Farm Supplies, Convenience Store Products,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel, LP Gas, Propane,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Petroleum,,,,,,,,,,,,,,,,,,,,,,,,
LP Delivery, C-Store, Hardware, Gas, Fuel, LP, Deli,,,,,,,,,,,,,,,,,,,,,,
Gas, Fuel, LP, Oil, Tires, TBA  Accessories,,,,,,,,,,,,,,,,,,,,,,,
Feed, Petroleum Products,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Liquor, Deli, Convenience Store,,,,,,,,,,,,,,,,,,,,,,,,,
Tires, Batteries, Gasoline, Diesel Fuel, Propane, Tools, Machine Repair Parts, Groceries, Bulk Delivery, Service Station, C-Store,,,,,,,,,,,,,,,,,,
Petroleum, Tires, Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Petroleum, Chemicals, Seed,,,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Oil, Gas, Diesel, Twine,,,,,,,,,,,,,,,,,,,,,,,,
Fuel, Gas, Petroleum, Tires, Batteries, Services, Repair Service,,,,,,,,,,,,,,,,,,,,,,
Feed, Petroleum, Ag Products, Automobile Supplies, Groceries,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum Products, Tires, Feed, Auto Related Products,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Fertilizer, Agricultural Chemicals, Tire, Fertilizer and Chemical Applications, Seed,,,,,,,,,,,,,,,,,,,,,,,
Petroleum Products, Chemicals, TBA,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum Products, Convenience Store, Tire Repair, Food Concept,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Fertilizer, Chemicals, Machinery, Convenience Store, Tires, Hardware,,,,,,,,,,,,,,,,,,,,,,
Gas, Fuel, Propane, Fertilizer, Chemicals, General Farm and Automotive Supplies, C-Store,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Tires, Farm Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Tires, Propane,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Fertilizer, Ag Chemicals, Tires, Fertilizer  Application, Hardware, Building Supplies,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Feed, Fertilizer, Agricultural Chemicals, Tires, Fertilizer Application,,,,,,,,,,,,,,,,,,,,,,,
Petroleum Products, Fertilizer, Chemicals, Farm Supplies ,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum Products, Fertilizer, Agricultural Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Farm Chemicals, Petroleum Products, Fertilizer and Chemical Application,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans, Edible Beans, Sunflowers, Flax, Barley, Seed, Fertilizer, Chemicals, Application,,,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans, Edible Beans, Petroleum, Feed, Fertilizer, Chemical, Fertilizer Application,,,,,,,,,,,,,,,,,,,,
